-80;-70;-60;-50;-40;-30;-20;-10;0;10;20;30;40;50;60
-4.86;-0.19;0.45;-2.65;1.71;-3;-1.42;-1.24;5.72;1.32;1.68;-2.13;-1.84;2.3;1.79
-1.45;-0.27;1.35;-1.01;0.16;-0.58;-1.28;-1.73;0.46;2.9;0.56;-1.21;0.97;2.6;-0.45
1.67;0.63;0.99;-0.69;-1.39;-0.91;0.43;-0.83;1.23;0.72;0.21;0.18;-0.67;1.65;-0.28
2.14;-0.08;1.84;-1.2;-1.5;0.81;0.38;-0.37;-0.62;0.83;-0.56;2.39;0.8;-0.26;-0.39
-1.9;-1.23;-0.67;-1.72;-0.79;1.21;0.54;1.24;0.77;-1.29;1.11;0.83;0.5;1;-1.29
-0.72;-1.85;-0.4;-1.83;-1.42;-0.39;-1.31;0.77;1.91;-2.03;-1.21;1.57;-1.43;-0.29;-0.5
1.35;-2.5;0.18;-1.61;-2.62;0.72;-2.83;1.81;0.33;-1.23;-2.79;0.5;-0.4;-0.96;-0.9
0.29;-3.57;-2.44;0.07;-0.14;2.47;-1.55;3.42;-2.58;-1.81;-2.57;1.38;1.6;-2.14;-1.7
-2.93;-1.3;-2.51;3.23;2.91;2.41;-2.13;1.07;0.01;-0.91;-0.28;1.32;-0.97;-0.47;0.35
-0.34;-2.62;-2.96;2.44;1.03;2.98;-1.83;-0.89;0.9;0.5;2.38;2.44;0.48;-2.49;1.79
-0.12;-0.57;0.96;0.37;1;1.02;-0.79;0.01;1.69;3.83;1.78;2.52;-0.75;-4.26;1.11
-2.76;-2.13;4.4;-0.58;1.79;-0.99;-0.38;-0.01;0.79;1.62;-0.17;0.72;-3.06;-3.52;1.49
-2.49;-1.33;-0.13;-0.23;0.62;1.19;-0.55;-2.65;0.14;-0.34;-0.48;1.24;-0.77;-0.96;1.41
-1.13;0.65;-1.67;2.5;2.01;-0.01;0.63;-2.79;-1.41;1.4;0.81;-0.72;-0.61;0.45;0.95
1.29;1.53;-2.87;2.06;1.28;-1.54;-1.28;-1.64;-2.2;3.77;-0.45;0.62;0.12;2.22;-1.59
4.1;-1.37;-2.62;2.09;-1.77;-0.36;-1.83;-0.5;0.23;4.45;-0.28;-0.96;1.84;-1.21;-1.1
0.47;0.63;-3.58;0.31;-1.74;-1.13;-1.31;-0.09;0.79;5.62;-3.69;-0.77;0.85;-2.16;1.19
-1.02;1.55;-1.59;2.2;-2.97;-0.88;-0.79;-0.04;1.61;2.76;2.01;0.1;0.61;-0.23;2.5
-1.26;-0.25;-1.19;2.57;-3.22;-1.62;-0.58;2.49;1.59;0.18;1.68;-2.62;-0.53;0.31;0.18
-2.44;0.19;1.21;3.12;0.49;0.86;-0.28;2.62;0.11;1.21;-1.4;-2.54;-1.62;0.1;0.05
0.2;-0.98;-0.07;0.72;-1.04;-0.18;-0.58;1.05;1.43;3.53;-1.02;-0.17;0.15;-0.5;0.97
1.65;0;-0.8;1.49;0.38;0.7;-0.25;-1.62;-1.31;1.43;0.32;1.08;-0.89;0.2;0.1
1.01;-0.19;-0.1;1.49;2.72;0.18;0.73;-1.84;1.43;0.34;-0.2;0.56;0.8;0.29;-3.44
3.36;-1.01;0.45;-0.58;1.33;-1.1;-0.31;-0.09;-0.11;-0.67;-1.51;-0.34;0.4;-1.21;-2.7
0.17;0.27;0.59;-2.21;0.68;1.3;2.07;0.64;-0.32;-0.07;-0.53;0.54;-1.08;-0.12;-2.21
0.34;3.92;-2.63;-1.12;-0.16;1.16;0.38;0.77;-3.23;0.67;-0.26;-0.66;1.7;0.53;0.65
2.16;2.31;-1.78;-0.55;-1.58;1.21;-0.77;1.97;-2.88;1.51;1.65;-1.1;0.55;1.67;2.01
0.2;-0.79;-1.21;1.38;-0.57;0.12;0.24;1.83;-2.25;1.54;1.08;-0.34;0.07;2.57;1.62
-3.5;-1.09;0.1;2.03;0.24;1.02;0.68;3.42;-1.9;-3.03;0.86;1.76;-1.84;1.4;1.36
-3.71;0.9;-0.18;1.9;-0.87;1.11;1.08;1.37;0.33;-4.12;0.73;-1.1;-1.59;1.81;-1.48
-0.72;-0.87;-0.1;0.18;-1.17;-1.02;1.08;-0.86;0.47;-2.22;-0.45;-3.96;-2.38;-1.95;-2.07
